"die number",discard_thickness,ram_speed,billet_length,billet_temperature,billet_taper_heating,billet_size,die_temperature,die_heating_time,stretch_ratio,value_l,value_m,value_n,nbn
MYBA0H-V01D,35,8,1200,480,100,14,480,5,0.6,3,7,8,2B1
MYB50H1-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,18,19,3B1
MYB63H1-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,3,4,2B1
MYB80H-V01D,35,8,1200,480,100,14,480,5,0.6,1.5,17,18,3B1
MYBA0H-V01D,35,8,1200,480,100,14,480,5,0.6,1.5,7,8,2B1
MHZ10B-V01B,40,1.7,600,480,100,9,480,5,0.6,1.5,16,17,1B2
CG63H3-V01D,25,6,1200,480,100,9,480,5,0.5,1.5,6,7,3B1
MYB16H-V03D,35,5.8,1200,480,50,9,480,5,0.6,1.5,19,20,1B1
MYB20H1-V03D,35,6.2,1200,500,100,9,500,5,0.6,1.5,19,20,1B1
CP9650T-V01B,25,3,600,480,100,9,480,5,0.6,1.5,6,7,1B1
MGPM25B2-V01D,35,4,1200,470,100,9,480,5,0.6,1.5,6,7,2B1
CG63R3-V02D,50,6,1200,480,50,9,480,5,0.8,1.5,6,7,3B1
CG63R3-V01D,25,6,1200,480,50,9,480,5,0.6,1.5,6,7,3B1
CXS10S3-V01D,25,1.5,600,480,50,9,480,5,0.6,2,12,13,1B2
CGA0R-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,2,3,4B1
MHZ16B-V01B,50,3.5,600,480,100,9,480,5,0.6,1.5,17,18,1B1
CQ50R3-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,14,15,1B1
MSQ30B2-V01D,35,4,1200,470,0,9,480,5,0.4,1.5,20,21,2B1
MSQ30B2-V01D,35,4,1200,470,0,9,480,5,0.4,1.5,20,21,2B1
CG40R3-V01D,25,6,1200,460,50,9,480,5,0.5,1.5,8,9,1B1
CQS16T2-V01D,25,3,600,480,50,9,480,5,0.6,1.5,21,22,1B1
CG40R3-V01D,25,5,1200,460,50,9,480,5,0.5,1.5,8,9,1B1
CU32B3-V01D,50,6,1200,490,100,9,480,5,0.6,1.5,12,13,1B1
CG50R3-V01D,25,5,1200,450,0,9,480,5,0.6,1.5,11,12,2B1
CG50H3-V01D,25,7,1200,480,50,9,480,5,0.5,1.5,9,10,2B1
CQ80K-V01D,80,6,1200,480,100,14,480,5,0.6,1.5,7,8,2B1
CQA0K-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,3,4,3B1
CRQ10B-V01C,50,2.5,600,480,50,9,480,5,0.6,1.5,18,19,1B1
CG32H3-V01D,50,4,1200,490,50,9,480,5,0.6,1.5,6,7,1B1
M1B40T-V01D,25,1,600,480,100,9,480,5,0.6,1.5,9,10,1B1
CRQ10B-V02C,50,2,600,480,0,9,480,5,0.6,1.5,18,19,1B1
CG20H2-V02D,50,2.2,600,480,100,9,480,5,0.3,1.5,11,12,1B1
CRQ30B-V01D,35,3.4,1200,490,50,9,500,5,0.6,1.5,13,14,1B1
PSA0B-V01D,35,6,1200,480,100,14,480,5,1.2,1.5,4,5,3B1
VJ30M1-V02D,25,1,600,490,0,9,480,5,0.6,1.5,15,15,1B1
PSA0-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,3,4,3B1
